X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
11.7647500,43.5245300,1,50,0,0
8.6776400,45.7632500,1,90,0,0
11.4511400,44.8686100,1,70,0,0
11.3484400,44.6421900,2,,0,0
12.0105800,45.4630300,1,70,0,0
11.0593600,43.7607800,1,70,0,0
11.4671100,45.6141400,2,,0,0
8.9931700,45.4414400,3,70,0,0
9.9354400,44.1359700,1,50,0,0
11.9307800,45.5657800,2,,0,0
11.7103300,45.5041900,1,70,0,0
11.2309400,44.0458600,1,100,0,0
11.2166700,44.0538300,1,60,0,0
11.2087500,44.0613900,1,100,0,0
11.2112500,44.1804400,1,130,0,0
11.1942200,44.2228900,1,100,0,0
11.1983300,44.2194400,2,100,0,0
11.1956100,44.2608100,1,100,0,0
11.3257800,43.7285600,1,50,0,0
13.0934200,41.3206100,1,50,0,0
9.5668100,44.3059400,1,50,0,0
11.3008300,44.6791700,2,,0,0
11.2397200,43.7547200,1,50,0,0
10.7178600,43.6701900,1,90,0,0
7.7897200,44.6363900,2,,0,0
9.1022200,45.0042200,2,,0,0
7.7893600,44.6359700,2,,0,0
7.7202200,45.2493100,2,,0,0
8.5321700,45.3018300,2,,0,0
10.5814400,45.3186400,2,,0,0
8.9388600,44.5927800,3,60,0,0
8.9388600,44.5931100,3,50,0,0
8.9507200,44.6011100,3,60,0,0
8.9503300,44.6012800,3,50,0,0
10.6687200,45.4470600,1,30,0,0
10.3736900,45.5301900,2,,0,0
8.9473600,45.0392500,2,,0,0
13.2625300,46.3956700,1,130,0,0
13.2855600,46.4013900,2,130,0,0
10.4108100,45.4752800,2,,0,0
10.4168900,45.3061400,3,50,0,0
9.0951400,45.4273600,2,,0,0
9.1018100,45.0038300,2,,0,0
9.1179400,45.0131100,2,,0,0
11.4011900,44.7014700,3,50,0,0
9.4972200,45.1928100,2,,0,0
8.9368300,45.6825600,2,,0,0
12.2975600,45.4544400,1,70,0,0
11.7896900,45.6588900,1,70,0,0
11.4015300,44.4948900,2,,0,0
8.8601900,45.5146700,2,,0,0
11.7029200,44.3538900,2,,0,0
8.8883100,45.6108100,2,,0,0
8.9137500,45.6258300,2,,0,0
11.6397800,44.3822800,2,,0,0
11.6408100,44.3818900,2,,0,0
8.8681100,45.6650800,2,,0,0
8.8761700,45.6666100,2,,0,0
11.5874400,44.4029400,2,,0,0
11.5865800,44.4030300,2,,0,0
8.9367500,45.6822800,2,,0,0
9.1265600,45.3531900,2,,0,0
9.0453600,45.4083300,2,,0,0
9.0456700,45.4080000,2,,0,0
9.0955600,45.4275000,2,,0,0
11.3822200,44.4804400,2,,0,0
10.2934400,44.8085300,2,,0,0
9.1121900,45.4414400,2,,0,0
9.1130600,45.4420800,2,,0,0
11.2858600,43.8254700,1,50,0,0
11.4213600,43.9434200,1,50,0,0
9.1307800,45.4971900,2,,0,0
9.1577800,45.4943100,3,50,0,0
18.3239700,39.9800600,2,,0,0
18.3443600,40.2793100,2,,0,0
18.3037800,40.2923900,2,,0,0
17.3622800,40.8356700,2,,0,0
16.8823600,41.0532200,2,,0,0
9.1959200,45.4950800,3,50,0,0
9.2007500,45.5066900,3,70,0,0
9.2955800,45.4363600,2,,0,0
9.1564700,45.5163900,2,,0,0
9.2010000,45.7963600,2,,0,0
9.1056400,45.8645000,2,,0,0
9.2870800,45.8136400,2,,0,0
9.3984200,45.2540800,2,,0,0
9.5542500,45.6662200,2,,0,0
9.6421400,45.7320300,2,,0,0
9.7668300,45.7470600,2,,0,0
10.5592800,45.6181900,2,,0,0
10.1391100,43.9813300,2,,0,0
10.8101100,43.8717800,2,,0,0
10.9004400,43.9312500,2,,0,0
11.9512200,42.0251100,2,,0,0
13.7411400,41.2486700,3,50,0,0
14.2511100,41.1125000,2,,0,0
11.6612800,45.8580600,3,50,0,0
11.7888300,45.6587200,1,70,0,0
10.2278100,44.9252800,1,50,0,0
10.2939200,44.8084700,2,,0,0
10.8901400,44.6205000,2,,0,0
11.3824700,44.4807200,2,,0,0
11.4019700,44.4949700,2,,0,0
11.4033300,44.4625800,2,,0,0
11.4137200,44.4686100,2,,0,0
10.8994200,44.6574700,2,,0,0
10.9011400,44.6565800,2,,0,0
